CODE,NAME
00111,MURDER NON-NEGLIGIENT MANSLAUGHTER
00112,KILLING OF FELON BY POLICE
00113,KILLING OF FELON BY CITIZEN
00114,KILLING OF POLICE BY FELON
00121,MANSLAUGHTER - VEHICLE - NEGLIGENCE
00122,MANSLAUGHTER - TRAIN ETC. VICTIM NON-NEGLIGENCE
00123,MANSLAUGHTER - NON-VEHICLE - NEGLIGENCE
00124,MANSLAUGHTER - VEHICLE - NEGLIGENCE OF VICTIM
00125,MANSLAUGHTER - TRAIN ETC. VICTIM NEGLIGENCE
00211,RAPE - FEMALE - FORCE
00212,RAPE - MALE - FORCE
00213,RAPE - FEMALE/MALE - FORCE - UNNATURAL ACT
00222,RAPE - FEMALE ATTEMPT FORCE
00223,RAPE - MALE - ATTEMPT FORCE
00224,RAPE - FEMALE/MALE - ATTEMPT FORCE - UNNATURAL ACT
00230,RAPE - FEMALE - ATTEMPT FORCE - UNDER 16
00231,RAPE - MALE - ATTEMPT FORCE - UNDER 16
00232,RAPE - FEMALE FORCE - UNDER 16
00233,RAPE - FEMALE - FORCE UNDER 16 DSS/DA REFFERRAL
00234,RAPE - MALE - FORCE - UNDER 16
00235,RAPE - MALE - FORCE - UNDER 16 DSS/DA REFERRAL
00236,RAPE - FEMALE - DRUGGING
00237,RAPE - MALE - DRUGGING
00241,RAPE - ATTEMPT - FORCIBLE
00242,RAPE - ATTEMPT - SODOMY
00243,RAPE - ATTEMPT - SEXUAL ASSAULT W/ OBJECT
00244,RAPE - ATTEMPT - FONDLING
00251,RAPE - COMPLETE - FORCIBLE
00252,RAPE - COMPLETE - SODOMY
00253,RAPE - COMPLETE - SEXUAL ASSAULT W/ OBJECT
00254,RAPE - COMPLETE - FONDLING
00261,RAPE - ATTEMPT - OTHER
00271,RAPE - COMPLETE - OTHER
00301,ROBBERY - FIREARM - BANK
00301,ROBBERY - STREET
00302,ROBBERY - FIREARM - BUSINESS
00303,ROBBERY - FIREARM - CHAIN STORE
00304,ROBBERY - FIREARM - GAS STATION
00305,ROBBERY - FIREARM  - MISCELLANEOUS
00306,ROBBERY - FIREARM - RESIDENCE
00307,ROBBERY - FIREARM - STREET
00308,ROBBERY - FIREARM - TAXI
00309,ROBBERY - KNIFE - BANK
00310,ROBBERY - KNIFE - BUSINESS
00311,ROBBERY - COMMERCIAL
00311,ROBBERY - KNIFE - CHAIN STORE
00312,ROBBERY - KNIFE - GAS STATION
00313,ROBBERY - KNIFE - MISCELLANEOUS
00314,ROBBERY - KNIFE- RESIDENCE
00315,ROBBERY - KNIFE - STREET
00316,ROBBERY - KNIFE - TAXI
00317,ROBBERY - OTHER WEAPON - BANK
00318,ROBBERY - OTHER WEAPON - BUSINESS
00319,ROBBERY - OTHER WEAPON - CHAIN STORE
00320,ROBBERY - OTHER WEAPON - GAS STATION
00321,ROBBERY - OTHER WEAPON - MISCELLANEOUS
00322,ROBBERY - OTHER WEAPON - RESIDENCE
00323,ROBBERY - OTHER WEAPON - STREET
00324,ROBBERY - OTHER WEAPON - TAXI
00333,ROBBERY - UNARMED - BANK
00334,ROBBERY - UNARMED - BUSINESS
00335,ROBBERY - UNARMED - CHAIN STORE
00336,ROBBERY - UNARMED - GAS STATION
00337,ROBBERY - UNARMED - MISCELLANEOUS
00338,ROBBERY - UNARMED - RESIDENCE
00339,ROBBERY - UNARMED - STREET
00340,ROBBERY - UNARMED - TAXI
00341,ROBBERY ATTEMPT - FIREARM - BANK
00342,ROBBERY ATTEMPT - FIREARM - BUSINESS
00343,ROBBERY ATTEMPT - FIREARM - CHAIN STORE
00344,ROBBERY ATTEMPT - FIREARM - GAS STATION
00345,ROBBERY ATTEMPT - FIREARM - MISCELLANEOUS
00346,ROBBERY ATTEMPT - FIREARM - RESIDENCE
00347,ROBBERY ATTEMPT - FIREARM - STREET
00348,ROBBERY ATTEMPT - FIREARM - TAXI
00349,ROBBERY ATTEMPT - KNIFE - BANK
00350,ROBBERY ATTEMPT - KNIFE - BUSINESS
00351,ROBBERY - BANK
00351,ROBBERY ATTEMPT - KNIFE - CHAIN STORE
00352,ROBBERY ATTEMPT - KNIFE - GAS STATION
00353,ROBBERY ATTEMPT - KNIFE - MISCELLANEOUS
00354,ROBBERY ATTEMPT - KNIFE - RESIDENCE
00355,ROBBERY ATTEMPT - KNIFE - STREET
00356,ROBBERY ATTEMPT - KNIFE - TAXI
00357,ROBBERY ATTEMPT - OTHER WEAPON - BANK
00358,ROBBERY ATTEMPT - OTHER WEAPON - BUSINESS
00359,ROBBERY ATTEMPT - OTHER WEAPON - CHAIN STORE
00360,ROBBERY ATTEMPT - OTHER WEAPON - GAS STATION
00361,ROBBERY - OTHER
00361,ROBBERY ATTEMPT - OTHER WEAPON - MISCELLANEOUS
00362,ROBBERY ATTEMPT - OTHER WEAPON - RESIDENCE
00363,ROBBERY ATTEMPT - OTHER WEAPON - STREET
00364,ROBBERY ATTEMPT - OTHER WEAPON - TAXI
00371,ROBBERY - HOME INVASION
00373,ROBERRY ATTEMPT - UNARMED - BANK
00374,ROBERRY ATTEMPT - UNARMED - BUSINESS
00375,ROBERRY ATTEMPT - UNARMED - CHAIN STORE
00376,ROBERRY ATTEMPT - UNARMED - GAS STATION
00377,ROBERRY ATTEMPT - UNARMED - MISCELLANEOUS
00378,ROBERRY ATTEMPT - UNARMED - RESIDENCE
00379,ROBERRY ATTEMPT - UNARMED - STREET
00380,ROBERRY ATTEMPT - UNARMED - TAXI
00381,ROBBERY - CAR JACKING
00401,ASSAULT & BATTERY D/W - GUN
00402,ASSAULT & BATTERY D/W - KNIFE
00403,ASSAULT & BATTERY D/W - OTHER
00404,"A&B HANDS, FEET, ETC.  - MED. ATTENTION REQ."
00411,ASSAULT D/W - GUN
00412,ASSAULT D/W - KNIFE
00413,ASSAULT - AGGRAVATED - BATTERY
00413,ASSAULT D/W - OTHER
00421,ASSAULT & BATTERY D/W - GUN ON POLICE OFFICER
00422,ASSAULT & BATTERY D/W - KNIFE ON POLICE OFFICER
00423,ASSAULT - AGGRAVATED
00423,ASSAULT & BATTERY D/W - OTHER ON POLICE OFFICER
00424,"A&B HANDS, FEET, ETC. - PO MED. ATTENTION REQ."
00431,ASSAULT D/W - GUN ON POLICE OFFICER
00432,ASSAULT D/W - KNIFE ON POLICE OFFICER
00433,ASSAULT D/W - OTHER ON POLICE OFFICER
00510,B&E RESIDENCE NIGHT - FORCE
00511,B&E RESIDENCE NIGHT - ATTEMPT FORCE
00512,B&E RESIDENCE NIGHT - NO FORCE
00517,B&E RESIDENCE NIGHT - NO PROP TAKEN
00520,B&E RESIDENCE DAY - FORCE
00520,BURGLARY - RESIDENTIAL - FORCE
00521,B&E RESIDENCE DAY - ATTEMPT FORCE
00521,BURGLARY - RESIDENTIAL - ATTEMPT
00522,B&E RESIDENCE DAY - NO FORCE
00522,BURGLARY - RESIDENTIAL - NO FORCE
00527,B&E RESIDENCE DAY - NO PROP TAKEN
00530,B&E NON-RESIDENCE NIGHT - FORCE
00531,B&E NON-RESIDENCE NIGHT - ATTEMPT FORCE
00532,B&E NON-RESIDENCE NIGHT - NO FORCE
00537,B&E NON-RESIDENCE NIGHT - NO PROP TAKEN
00540,B&E NON-RESIDENCE DAY - FORCIBLE
00540,BURGLARY - COMMERICAL - FORCE
00541,B&E NON-RESIDENCE DAY - ATTEMPT FORCE
00541,BURGLARY - COMMERICAL - ATTEMPT
