,geometry_type,site_id,id,title,thumbnail,url,filename,orbitNumber,ron,orbit,platform,geometry
0,Polygon,10002,3af0b46f-b626-5ad2-af5a-9b75beae12df,S2B_MSIL1C_20220129T103159_N0400_R108_T32TLP_20220129T111154.SAFE,https://catalogue.dataspace.copernicus.eu/get-object?path=/Sentinel-2/MSI/L1C/2022/01/29/S2B_MSIL1C_20220129T103159_N0400_R108_T32TLP_20220129T111154.SAFE/S2B_MSIL1C_20220129T103159_N0400_R108_T32TLP_20220129T111154-ql.jpg,https://catalogue.dataspace.copernicus.eu/download/3af0b46f-b626-5ad2-af5a-9b75beae12df,/eodata/Sentinel-2/MSI/L1C/2022/01/29/S2B_MSIL1C_20220129T103159_N0400_R108_T32TLP_20220129T111154.SAFE,25588,108,DESCENDING,S2B,"POLYGON ((7.8833467598184 43.545342179934, 7.8702372867615 44.247830683969, 6.4959285929038 44.225964154763, 6.5367723231367 43.238262553327, 7.7707382061658 43.257548521032, 7.7882889815268 43.302463046835, 7.8452861399167 43.44827770079, 7.8833467598184 43.545342179934))"
1,Polygon,10002,3fb65452-79f3-59eb-b944-85f664ab1cc1,S2A_MSIL2A_20220121T102331_N9999_R065_T32TLP_20221126T090253.SAFE,https://catalogue.dataspace.copernicus.eu/get-object?path=/Sentinel-2/MSI/L2A/2022/01/21/S2A_MSIL2A_20220121T102331_N9999_R065_T32TLP_20221126T090253.SAFE/S2A_MSIL2A_20220121T102331_N9999_R065_T32TLP_20221126T090253-ql.jpg,https://catalogue.dataspace.copernicus.eu/download/3fb65452-79f3-59eb-b944-85f664ab1cc1,/eodata/Sentinel-2/MSI/L2A/2022/01/21/S2A_MSIL2A_20220121T102331_N9999_R065_T32TLP_20221126T090253.SAFE,34382,65,DESCENDING,S2A,"POLYGON ((6.53537600651285 43.2720289149594, 6.53677232313667 43.2382625533271, 7.8886830141923 43.2593919105371, 7.87023728676149 44.2478306839688, 6.85573170854089 44.2316889568923, 6.80770452180834 44.0916012054146, 6.7580017505525 43.9450313739555, 6.70988060072912 43.7980728382952, 6.66052015967677 43.6515224445036, 6.61099005955164 43.5050672681946, 6.56336414120084 43.3580741142308, 6.53537600651285 43.2720289149594))"
2,Polygon,10002,d5962479-5473-52c2-93b7-ad0b3823a658,S2A_MSIL1C_20220124T103331_N0301_R108_T32TLP_20220124T141332.SAFE,https://catalogue.dataspace.copernicus.eu/get-object?path=/Sentinel-2/MSI/L1C/2022/01/24/S2A_MSIL1C_20220124T103331_N0301_R108_T32TLP_20220124T141332.SAFE/S2A_MSIL1C_20220124T103331_N0301_R108_T32TLP_20220124T141332-ql.jpg,https://catalogue.dataspace.copernicus.eu/download/d5962479-5473-52c2-93b7-ad0b3823a658,/eodata/Sentinel-2/MSI/L1C/2022/01/24/S2A_MSIL1C_20220124T103331_N0301_R108_T32TLP_20220124T141332.SAFE,34425,108,DESCENDING,S2A,"POLYGON ((7.8829969462097 43.564087406201, 7.8702372867615 44.247830683969, 6.4959285929038 44.225964154763, 6.5367723231367 43.238262553327, 7.7632589545389 43.257431625899, 7.7696159448213 43.273830686376, 7.8263714404146 43.419620693475, 7.8829969462097 43.564087406201))"
3,Polygon,10002,63d2aee3-51bf-54c1-b37c-21a6da00f0ee,S2A_MSIL2A_20220124T103331_N0301_R108_T32TLP_20220124T163734.SAFE,https://catalogue.dataspace.copernicus.eu/get-object?path=/Sentinel-2/MSI/L2A/2022/01/24/S2A_MSIL2A_20220124T103331_N0301_R108_T32TLP_20220124T163734.SAFE/S2A_MSIL2A_20220124T103331_N0301_R108_T32TLP_20220124T163734-ql.jpg,https://catalogue.dataspace.copernicus.eu/download/63d2aee3-51bf-54c1-b37c-21a6da00f0ee,/eodata/Sentinel-2/MSI/L2A/2022/01/24/S2A_MSIL2A_20220124T103331_N0301_R108_T32TLP_20220124T163734.SAFE,34425,108,DESCENDING,S2A,"POLYGON ((7.8829969462097 43.564087406201, 7.8702372867615 44.247830683969, 6.4959285929038 44.225964154763, 6.5367723231367 43.238262553327, 7.7632589545389 43.257431625899, 7.7696159448213 43.273830686376, 7.8263714404146 43.419620693475, 7.8829969462097 43.564087406201))"
4,Polygon,10002,7b242d90-95f1-545c-86c0-75d3913239cc,S2B_MSIL2A_20220109T103319_N0301_R108_T32TLP_20220109T121931.SAFE,https://catalogue.dataspace.copernicus.eu/get-object?path=/Sentinel-2/MSI/L2A/2022/01/09/S2B_MSIL2A_20220109T103319_N0301_R108_T32TLP_20220109T121931.SAFE/S2B_MSIL2A_20220109T103319_N0301_R108_T32TLP_20220109T121931-ql.jpg,https://catalogue.dataspace.copernicus.eu/download/7b242d90-95f1-545c-86c0-75d3913239cc,/eodata/Sentinel-2/MSI/L2A/2022/01/09/S2B_MSIL2A_20220109T103319_N0301_R108_T32TLP_20220109T121931.SAFE,25302,108,DESCENDING,S2B,"POLYGON ((7.8829321046381 43.56756202783, 7.835115347731 43.446291302496, 7.8297798096693 43.432779656443, 7.8240227788371 43.418043733238, 7.7730974337412 43.287930032942, 7.7612499119632 43.25740022606, 6.5367723231367 43.238262553327, 6.4959285929038 44.225964154763, 7.8702372867615 44.247830683969, 7.8829321046381 43.56756202783))"
5,Polygon,10002,4f2052d4-d6ac-5195-a903-9208159f8b05,S2B_MSIL1C_20220116T102249_N0301_R065_T32TLP_20220116T111758.SAFE,https://catalogue.dataspace.copernicus.eu/get-object?path=/Sentinel-2/MSI/L1C/2022/01/16/S2B_MSIL1C_20220116T102249_N0301_R065_T32TLP_20220116T111758.SAFE/S2B_MSIL1C_20220116T102249_N0301_R065_T32TLP_20220116T111758-ql.jpg,https://catalogue.dataspace.copernicus.eu/download/4f2052d4-d6ac-5195-a903-9208159f8b05,/eodata/Sentinel-2/MSI/L1C/2022/01/16/S2B_MSIL1C_20220116T102249_N0301_R065_T32TLP_20220116T111758.SAFE,25402,65,DESCENDING,S2B,"POLYGON ((6.535071074583 43.279402917131, 6.5367723231367 43.238262553327, 7.8886830141923 43.259391910537, 7.8702372867615 44.247830683969, 6.8534439925141 44.231652557203, 6.8069800291886 44.098374555759, 6.7567402052687 43.951942728381, 6.7093064052555 43.804798114487, 6.6599129491905 43.658301451575, 6.6103654513947 43.511910317356, 6.562969806297 43.364960799049, 6.535071074583 43.279402917131))"
6,Polygon,10002,85c55d3b-4e52-58d7-bb0d-b3763cef830e,S2B_MSIL1C_20220109T103319_N0301_R108_T32TLP_20220109T111447.SAFE,https://catalogue.dataspace.copernicus.eu/get-object?path=/Sentinel-2/MSI/L1C/2022/01/09/S2B_MSIL1C_20220109T103319_N0301_R108_T32TLP_20220109T111447.SAFE/S2B_MSIL1C_20220109T103319_N0301_R108_T32TLP_20220109T111447-ql.jpg,https://catalogue.dataspace.copernicus.eu/download/85c55d3b-4e52-58d7-bb0d-b3763cef830e,/eodata/Sentinel-2/MSI/L1C/2022/01/09/S2B_MSIL1C_20220109T103319_N0301_R108_T32TLP_20220109T111447.SAFE,25302,108,DESCENDING,S2B,"POLYGON ((7.8829321046381 43.56756202783, 7.835115347731 43.446291302496, 7.8297798096693 43.432779656443, 7.8240227788371 43.418043733238, 7.7730974337412 43.287930032942, 7.7612499119632 43.25740022606, 6.5367723231367 43.238262553327, 6.4959285929038 44.225964154763, 7.8702372867615 44.247830683969, 7.8829321046381 43.56756202783))"
7,Polygon,10002,661c56eb-11d7-563f-b3fc-9b8a9e913683,S2A_MSIL2A_20220121T102331_N0301_R065_T32TLP_20220121T131536.SAFE,https://catalogue.dataspace.copernicus.eu/get-object?path=/Sentinel-2/MSI/L2A/2022/01/21/S2A_MSIL2A_20220121T102331_N0301_R065_T32TLP_20220121T131536.SAFE/S2A_MSIL2A_20220121T102331_N0301_R065_T32TLP_20220121T131536-ql.jpg,https://catalogue.dataspace.copernicus.eu/download/661c56eb-11d7-563f-b3fc-9b8a9e913683,/eodata/Sentinel-2/MSI/L2A/2022/01/21/S2A_MSIL2A_20220121T102331_N0301_R065_T32TLP_20220121T131536.SAFE,34382,65,DESCENDING,S2A,"POLYGON ((6.5353760065128 43.272028914959, 6.5367723231367 43.238262553327, 7.8886830141923 43.259391910537, 7.8702372867615 44.247830683969, 6.8557317085409 44.231688956892, 6.8077045218083 44.091601205415, 6.7580017505525 43.945031373956, 6.7098806007291 43.798072838295, 6.6605201596768 43.651522444504, 6.6109900595516 43.505067268195, 6.5633641412008 43.358074114231, 6.5353760065128 43.272028914959))"
8,Polygon,10002,4021ee82-392a-5d70-b128-4fda33f835db,S2B_MSIL1C_20220119T103249_N0301_R108_T32TLP_20220119T112330.SAFE,https://catalogue.dataspace.copernicus.eu/get-object?path=/Sentinel-2/MSI/L1C/2022/01/19/S2B_MSIL1C_20220119T103249_N0301_R108_T32TLP_20220119T112330.SAFE/S2B_MSIL1C_20220119T103249_N0301_R108_T32TLP_20220119T112330-ql.jpg,https://catalogue.dataspace.copernicus.eu/download/4021ee82-392a-5d70-b128-4fda33f835db,/eodata/Sentinel-2/MSI/L1C/2022/01/19/S2B_MSIL1C_20220119T103249_N0301_R108_T32TLP_20220119T112330.SAFE,25445,108,DESCENDING,S2B,"POLYGON ((7.883105703866 43.558259482914, 7.8702372867615 44.247830683969, 6.4959285929038 44.225964154763, 6.5367723231367 43.238262553327, 7.7658010332086 43.257471356696, 7.7705589373452 43.269748274306, 7.8272497012188 43.415503154066, 7.883105703866 43.558259482914))"
9,Polygon,10002,74f30e2d-41d9-5861-a5a1-afd7e8442757,S2A_MSIL1C_20220121T102331_N0301_R065_T32TLP_20220121T122909.SAFE,https://catalogue.dataspace.copernicus.eu/get-object?path=/Sentinel-2/MSI/L1C/2022/01/21/S2A_MSIL1C_20220121T102331_N0301_R065_T32TLP_20220121T122909.SAFE/S2A_MSIL1C_20220121T102331_N0301_R065_T32TLP_20220121T122909-ql.jpg,https://catalogue.dataspace.copernicus.eu/download/74f30e2d-41d9-5861-a5a1-afd7e8442757,/eodata/Sentinel-2/MSI/L1C/2022/01/21/S2A_MSIL1C_20220121T102331_N0301_R065_T32TLP_20220121T122909.SAFE,34382,65,DESCENDING,S2A,"POLYGON ((6.5353760065128 43.272028914959, 6.5367723231367 43.238262553327, 7.8886830141923 43.259391910537, 7.8702372867615 44.247830683969, 6.8557317085409 44.231688956892, 6.8077045218083 44.091601205415, 6.7580017505525 43.945031373956, 6.7098806007291 43.798072838295, 6.6605201596768 43.651522444504, 6.6109900595516 43.505067268195, 6.5633641412008 43.358074114231, 6.5353760065128 43.272028914959))"
10,Polygon,10002,d4cc8ae1-b424-5c16-9e63-1ec943e33783,S2A_MSIL1C_20220111T102411_N0301_R065_T32TLP_20220111T122436.SAFE,https://catalogue.dataspace.copernicus.eu/get-object?path=/Sentinel-2/MSI/L1C/2022/01/11/S2A_MSIL1C_20220111T102411_N0301_R065_T32TLP_20220111T122436.SAFE/S2A_MSIL1C_20220111T102411_N0301_R065_T32TLP_20220111T122436-ql.jpg,https://catalogue.dataspace.copernicus.eu/download/d4cc8ae1-b424-5c16-9e63-1ec943e33783,/eodata/Sentinel-2/MSI/L1C/2022/01/11/S2A_MSIL1C_20220111T102411_N0301_R065_T32TLP_20220111T122436.SAFE,34239,65,DESCENDING,S2A,"POLYGON ((6.5350389414582 43.280179974922, 6.5367723231367 43.238262553327, 7.8886830141923 43.259391910537, 7.8702372867615 44.247830683969, 6.8525751308641 44.231638732806, 6.8513352494362 44.228039441501, 6.8015003223158 44.081506314153, 6.7527324549351 43.934687238954, 6.7033945700663 43.788044950936, 6.6536248543403 43.641572953857, 6.6045211249247 43.494974765935, 6.5567243866248 43.348067377514, 6.5350389414582 43.280179974922))"
