,geometry,site_id,name,id,code,type
0,POINT Z (6.921225522783775 43.75483465295305 1323.7008658843115),10002,Grasse (OCA),10002S018,GR3B,DORIS
1,POINT Z (6.92122977834944 43.75482579925191 1323.8158046444878),10002,Grasse (OCA),10002S019,GR4B,DORIS
2,POINT Z (1.4812073855808385 43.55813766742102 207.6910119438544),10003,Toulouse,10003S001,TLSA,DORIS
3,POINT Z (1.484889718501069 43.54962265959908 210.79596604034305),10003,Toulouse,10003S003,TLHA,DORIS
4,POINT Z (1.4848896767775481 43.549622831720114 211.0841292720288),10003,Toulouse,10003S005,TLSB,DORIS
5,POINT Z (8.762455374933241 41.92747055733382 98.24128381721675),10077,Ajaccio,10077S002,AJAB,DORIS
6,POINT Z (-21.995181792552696 64.1509775626266 95.55263383314013),10202,Reykjavik,10202S001,REYA,DORIS
7,POINT Z (-21.995181886124104 64.1509779077686 95.75500599201769),10202,Reykjavik,10202S002,REYB,DORIS
8,POINT Z (-21.90946878235935 64.14600467523736 83.2367795696482),10202,Reykjavik,10202S003,REZB,DORIS
9,POINT Z (11.931686465682063 78.9234048584027 52.42899582814425),10317,Ny-Alesund,10317S002,SPIA,DORIS
10,POINT Z (11.93168739357258 78.92340448192257 52.65538911148906),10317,Ny-Alesund,10317S004,SPIB,DORIS
11,POINT Z (11.931689489486216 78.92339898764025 52.6738913487643),10317,Ny-Alesund,10317S005,SPJB,DORIS
12,POINT Z (11.841581003609287 78.94107037446388 65.09075586590916),10338,Ny-Alesund Bran,10338S003,SVAC,DORIS
13,POINT Z (24.38451262583909 60.24202811939078 62.95515274722129),10503,Metsahovi,10503S013,META,DORIS
14,POINT Z (24.38450890704925 60.241993150711714 62.79065182432532),10503,Metsahovi,10503S015,METB,DORIS
15,POINT Z (24.38450897607625 60.241993126170875 62.303808683529496),10503,Metsahovi,10503S016,MEUB,DORIS
16,POINT Z (142.71679232414016 47.02969656327175 90.77806424722075),12329,Yuzhno-Sakhalin,12329S001,SAKA,DORIS
17,POINT Z (142.71679282407314 47.029696779672705 90.95873988233507),12329,Yuzhno-Sakhalin,12329S002,SAKB,DORIS
18,POINT Z (66.88486237586547 39.133664512862886 630.2060166457668),12334,Kitab,12334S004,KITA,DORIS
19,POINT Z (66.88486254000429 39.13366447114572 629.4359598774463),12334,Kitab,12334S005,KITB,DORIS
20,POINT Z (66.8853940803701 39.134734279619536 623.3654112778604),12334,Kitab,12334S006,KIUB,DORIS
21,POINT Z (66.88667993056563 39.133381208861366 623.0795747097582),12334,Kitab,12334S007,KIVC,DORIS
22,POINT Z (102.23493531279937 51.76972351165573 812.3111864235252),12338,Badary,12338S001,BADA,DORIS
23,POINT Z (102.23493536627355 51.76972348686579 812.53104697261),12338,Badary,12338S002,BADB,DORIS
24,POINT Z (156.11576110903272 50.67018870172085 52.28197868075222),12339,Paramushir (Kou,12339S001,PASB,DORIS
25,POINT Z (92.79351407090965 55.99323063230172 216.85390011966228),12349,Krasnoyarsk,12349S001,KRAB,DORIS
26,POINT Z (92.79351671532484 55.99322960328031 216.8517068075016),12349,Krasnoyarsk,12349S002,KRBB,DORIS
27,POINT Z (23.932888103308592 38.07840499045458 513.568995594047),12602,Dionysos,12602S011,DIOA,DORIS
28,POINT Z (23.93288240040124 38.07844384454563 512.7957193022594),12602,Dionysos,12602S012,DIOB,DORIS
29,POINT Z (24.10871940587861 34.83858983921537 124.34654336143285),12618,Gavdos,12618S001,GAVB,DORIS
30,POINT Z (12.875322762287592 49.14506719616981 653.3191315950826),14201,Wettzell,14201S046,WEUC,DORIS
31,POINT Z (86.81316697372358 27.95816254626335 4962.039574043825),21501,EVEREST,21501S001,EVEB,DORIS
32,POINT Z (114.4911444125675 30.515553109532263 70.47226038854569),21602,WUHAN-JIUFENG,21602S005,JIUB,DORIS
33,POINT Z (114.49114443358451 30.51555318127709 70.84141776431352),21602,WUHAN-JIUFENG,21602S006,JIVB,DORIS
34,POINT Z (114.49114450097312 30.515553116944652 70.84229256212711),21602,WUHAN-JIUFENG,21602S007,JIWC,DORIS
35,POINT Z (118.82483720991232 32.06714157256043 263.5258513642475),21604,PURPLE MOUNTAIN,21604S003,PURA,DORIS
36,POINT Z (121.04118124256594 14.53545285136586 87.05260234232992),22006,Manila - Taguig,22006S001,MANA,DORIS
37,POINT Z (121.04115374368087 14.535458936817552 87.29733218066394),22006,Manila - Taguig,22006S002,MANB,DORIS
38,POINT Z (73.52784434172743 4.192705705266678 -92.4415762592107),22901,Male airport,22901S002,MALB,DORIS
39,POINT Z (106.84884148546973 -6.490683559804889 161.09320247545838),23101,Cibinong,23101S001,CIBB,DORIS
40,POINT Z (106.84884129175713 -6.490683396767706 161.1172194564715),23101,Cibinong,23101S002,CICB,DORIS
