,site_id,geometry,name
0,10002,"POLYGON Z ((6.920769027558275 43.75449121674478 1319.8584192404523, 6.920575718572273 43.75473921290615 1319.3033537482843, 6.921225522783775 43.75483465295305 1323.7008658843115, 6.9215764612823785 43.75463445487693 1323.3432332416996, 6.920769027558275 43.75449121674478 1319.8584192404523))",Grasse (OCA)
1,10003,"POLYGON Z ((1.484889718501069 43.54962265959908 210.79596604034305, 1.4812073855808385 43.55813766742102 207.6910119438544, 1.4807625101587398 43.56077472029336 207.09634654596448, 1.4808928391721505 43.56069617279205 207.18445165734738, 1.4850422047644585 43.54971292423458 208.74784083850682, 1.484889718501069 43.54962265959908 210.79596604034305))",Toulouse
2,10004,"POLYGON Z ((-4.496592391619885 48.38049510663987 65.82489314768463, -4.503830973780643 48.40786665738257 104.4208187321201, -4.411817679315109 48.444605172648146 154.6854731440544, -4.496592391619885 48.38049510663987 65.82489314768463))",Brest
3,10077,"POLYGON Z ((8.762698268870011 41.92739128662286 96.80210820678622, 8.762455374933241 41.92747055733382 98.24128381721675, 8.762617178153613 41.927458825358165 98.78619614429772, 8.762698268870011 41.92739128662286 96.80210820678622))",Ajaccio
4,10202,"POLYGON Z ((-21.955487302082858 64.13878583177694 93.04830684140325, -21.995181792552696 64.1509775626266 95.55263383314013, -21.995181886124104 64.1509779077686 95.75500599201769, -21.90946878235935 64.14600467523736 83.2367795696482, -21.955487302082858 64.13878583177694 93.04830684140325))",Reykjavik
5,10302,"POLYGON Z ((18.93965049820503 69.66271950964412 138.11681554373354, 18.93833297538508 69.66275012061257 132.46323358733207, 18.939452087898466 69.66297657947618 132.95418168511242, 18.93965049820503 69.66271950964412 138.11681554373354))",Tromso
6,10317,"POLYGON Z ((11.931689489486216 78.92339898764025 52.6738913487643, 11.86970052705624 78.92911256111584 87.41602307930589, 11.865314018804648 78.92955607250599 84.31464888434857, 11.858637636975772 78.93033231066637 81.44564766902477, 11.931686465682063 78.9234048584027 52.42899582814425, 11.93168739357258 78.92340448192257 52.65538911148906, 11.931689489486216 78.92339898764025 52.6738913487643))",Ny-Alesund
7,10402,"POLYGON Z ((11.918953107712829 57.393091959733304 53.24811931792647, 11.919747594662486 57.39361064124471 53.24605803564191, 11.924544114370201 57.395334756294645 44.50004736613482, 11.926359566069742 57.395838704904655 59.31581461708993, 11.925520260211227 57.39530024043222 45.61598382331431, 11.918953107712829 57.393091959733304 53.24811931792647))",Onsala
8,10503,"POLYGON Z ((24.394556961987867 60.21715592415322 74.12023316603154, 24.393115856214553 60.21781081078932 79.98849252890795, 24.384175755323227 60.24196698944862 59.672495199367404, 24.384175773472673 60.2419670668211 59.67920070420951, 24.38451262583909 60.24202811939078 62.95515274722129, 24.39533435377196 60.21748114229258 94.60720882192254, 24.39532389598988 60.21747328736743 94.65561041142792, 24.394556961987867 60.21715592415322 74.12023316603154))",Metsahovi
9,12302,"POLYGON Z ((24.05860500845752 56.948465559079665 29.389307647943497, 24.05863450656791 56.948722826904635 31.22121362015605, 24.059080055181038 56.94855295643985 31.352432882413268, 24.05860500845752 56.948465559079665 29.389307647943497))",Riga
